Temperature - (Celsius), Year, Month, Country, ISO3
-27.487, 1932, Jan, Greenland, GRL
-22.771, 1932, Feb, Greenland, GRL
-23.422, 1932, Mar, Greenland, GRL
-21.898, 1932, Apr, Greenland, GRL
-10.465, 1932, May, Greenland, GRL
-5.1005, 1932, Jun, Greenland, GRL
-2.4038, 1932, Jul, Greenland, GRL
-5.992, 1932, Aug, Greenland, GRL
-12.527, 1932, Sep, Greenland, GRL
-19.067, 1932, Oct, Greenland, GRL
-25.517, 1932, Nov, Greenland, GRL
-25.109, 1932, Dec, Greenland, GRL
-24.185, 1933, Jan, Greenland, GRL
-24.526, 1933, Feb, Greenland, GRL
-26.284, 1933, Mar, Greenland, GRL
-22.691, 1933, Apr, Greenland, GRL
-11.303, 1933, May, Greenland, GRL
-5.9483, 1933, Jun, Greenland, GRL
-2.0314, 1933, Jul, Greenland, GRL
-5.2051, 1933, Aug, Greenland, GRL
-12.561, 1933, Sep, Greenland, GRL
-18.956, 1933, Oct, Greenland, GRL
-21.94, 1933, Nov, Greenland, GRL
-22.825, 1933, Dec, Greenland, GRL
-24.259, 1934, Jan, Greenland, GRL
-28.485, 1934, Feb, Greenland, GRL
-27.513, 1934, Mar, Greenland, GRL
-21.466, 1934, Apr, Greenland, GRL
-13.61, 1934, May, Greenland, GRL
-5.5485, 1934, Jun, Greenland, GRL
-2.0176, 1934, Jul, Greenland, GRL
-5.238, 1934, Aug, Greenland, GRL
-11.847, 1934, Sep, Greenland, GRL
-18.801, 1934, Oct, Greenland, GRL
-23.297, 1934, Nov, Greenland, GRL
-22.46, 1934, Dec, Greenland, GRL
-23.998, 1935, Jan, Greenland, GRL
-29.115, 1935, Feb, Greenland, GRL
-25.463, 1935, Mar, Greenland, GRL
-21.52, 1935, Apr, Greenland, GRL
-12.663, 1935, May, Greenland, GRL
-5.1923, 1935, Jun, Greenland, GRL
-2.4473, 1935, Jul, Greenland, GRL
-5.3978, 1935, Aug, Greenland, GRL
-12.412, 1935, Sep, Greenland, GRL
-18.776, 1935, Oct, Greenland, GRL
-21.782, 1935, Nov, Greenland, GRL
-24.528, 1935, Dec, Greenland, GRL
-24.871, 1936, Jan, Greenland, GRL
-24.961, 1936, Feb, Greenland, GRL
-28.691, 1936, Mar, Greenland, GRL
-20.512, 1936, Apr, Greenland, GRL
-11.249, 1936, May, Greenland, GRL
-5.4695, 1936, Jun, Greenland, GRL
-1.5148, 1936, Jul, Greenland, GRL
-5.4459, 1936, Aug, Greenland, GRL
-12.325, 1936, Sep, Greenland, GRL
-18.755, 1936, Oct, Greenland, GRL
-23.598, 1936, Nov, Greenland, GRL
-27.882, 1936, Dec, Greenland, GRL
-23.845, 1937, Jan, Greenland, GRL
-28.235, 1937, Feb, Greenland, GRL
-26.022, 1937, Mar, Greenland, GRL
-21.863, 1937, Apr, Greenland, GRL
-12.828, 1937, May, Greenland, GRL
-6.1661, 1937, Jun, Greenland, GRL
-2.5875, 1937, Jul, Greenland, GRL
-5.7104, 1937, Aug, Greenland, GRL
-13.037, 1937, Sep, Greenland, GRL
-20.047, 1937, Oct, Greenland, GRL
-22.555, 1937, Nov, Greenland, GRL
-25.25, 1937, Dec, Greenland, GRL
-26.222, 1938, Jan, Greenland, GRL
-26.56, 1938, Feb, Greenland, GRL
-29.211, 1938, Mar, Greenland, GRL
-23.019, 1938, Apr, Greenland, GRL
-12.912, 1938, May, Greenland, GRL
-5.4288, 1938, Jun, Greenland, GRL
-3.204, 1938, Jul, Greenland, GRL
-5.7024, 1938, Aug, Greenland, GRL
-13.029, 1938, Sep, Greenland, GRL
-18.541, 1938, Oct, Greenland, GRL
-24.866, 1938, Nov, Greenland, GRL
-23.705, 1938, Dec, Greenland, GRL
-23.01, 1939, Jan, Greenland, GRL
-28.39, 1939, Feb, Greenland, GRL
-26.655, 1939, Mar, Greenland, GRL
-20.1, 1939, Apr, Greenland, GRL
-11.818, 1939, May, Greenland, GRL
-6.0289, 1939, Jun, Greenland, GRL
-2.4318, 1939, Jul, Greenland, GRL
